Ngày,Lần cuối,Mở,Cao,Thấp,KL
21/5/2018,16.52,16.43,16.535,16.28,63.89K
22/5/2018,16.575,16.53,16.7,16.465,73.53K
23/5/2018,16.405,16.555,16.6,16.33,89.46K
24/5/2018,16.687,16.475,16.715,16.42,91.02K
25/5/2018,16.546,16.69,16.74,16.5,72.71K
28/5/2018,16.373,16.48,16.515,16.31,104.49K
29/5/2018,16.373,16.53,16.53,16.31,104.49K
30/5/2018,16.587,16.587,16.587,16.587,65.13K
31/5/2018,16.503,16.57,16.6,16.57,0.00K
1/6/2018,16.485,16.535,16.535,16.535,0.00K
4/6/2018,16.476,16.505,16.565,16.505,0.00K
5/6/2018,16.586,16.555,16.555,16.555,0.00K
6/6/2018,16.73,16.76,16.8,16.75,0.02K
7/6/2018,16.852,16.72,16.96,16.72,0.04K
8/6/2018,16.781,16.72,16.855,16.69,0.01K
11/6/2018,16.991,16.92,17,16.83,0.02K
12/6/2018,16.927,16.94,17,16.86,0.06K
13/6/2018,17.027,16.89,17.145,16.87,0.07K
14/6/2018,17.299,17.025,17.36,17.025,0.05K
15/6/2018,16.52,17.18,17.29,16.5,0.26K
18/6/2018,16.481,16.58,16.68,16.485,0.34K
19/6/2018,16.364,16.565,16.58,16.29,0.19K
20/6/2018,16.348,16.38,16.39,16.32,0.27K
21/6/2018,16.364,16.33,16.365,16.23,0.13K
22/6/2018,16.499,16.37,16.5,16.36,0.15K
25/6/2018,16.37,16.525,16.525,16.34,0.47K
26/6/2018,16.293,16.36,16.39,16.185,0.31K
27/6/2018,16.196,16.32,16.325,16,0.99K
28/6/2018,16.041,16.125,16.185,15.965,109.59K
29/6/2018,16.198,16.05,16.22,16,70.39K
2/7/2018,15.835,16.145,16.18,15.8,82.70K
3/7/2018,16.043,15.88,16.085,15.815,72.28K
4/7/2018,16.097,16.13,16.145,15.97,89.47K
5/7/2018,16.097,16.06,16.195,15.97,89.47K
6/7/2018,16.069,16.065,16.19,15.985,58.13K
9/7/2018,16.139,16.065,16.26,16.055,62.14K
10/7/2018,16.087,16.15,16.2,15.92,68.89K
11/7/2018,15.817,16.105,16.11,15.805,86.97K
12/7/2018,15.977,15.825,16.025,15.78,64.14K
13/7/2018,15.815,15.98,16.015,15.7,78.40K
16/7/2018,15.812,15.805,15.9,15.765,47.30K
17/7/2018,15.617,15.8,15.885,15.56,80.89K
18/7/2018,15.574,15.585,15.625,15.41,71.77K
19/7/2018,15.402,15.565,15.59,15.185,103.53K
20/7/2018,15.549,15.33,15.565,15.25,81.07K
23/7/2018,15.425,15.54,15.58,15.35,61.39K
24/7/2018,15.52,15.395,15.63,15.34,70.89K
25/7/2018,15.589,15.48,15.655,15.47,60.42K
26/7/2018,15.495,15.62,15.7,15.39,56.67K
27/7/2018,15.493,15.4,15.57,15.345,59.41K
30/7/2018,15.667,15.667,15.667,15.667,42.34K
31/7/2018,15.597,15.63,15.63,15.63,0.00K
1/8/2018,15.488,15.585,15.585,15.48,0.05K
2/8/2018,15.418,15.395,15.395,15.395,0.05K
3/8/2018,15.495,15.49,15.565,15.49,0.02K
6/8/2018,15.381,15.48,15.48,15.34,0.06K
7/8/2018,15.405,15.405,15.405,15.405,0.02K
8/8/2018,15.464,15.415,15.44,15.345,0.01K
9/8/2018,15.495,15.54,15.54,15.5,0.05K
10/8/2018,15.328,15.475,15.475,15.35,0.02K
13/8/2018,15.016,15.28,15.29,15.02,0.03K
14/8/2018,15.086,15.09,15.09,15.065,0.03K
15/8/2018,14.488,15.085,15.085,14.395,0.18K
16/8/2018,14.745,14.465,14.84,14.38,0.27K
17/8/2018,14.664,14.665,14.725,14.65,0.04K
20/8/2018,14.703,14.785,14.82,14.68,0.07K
21/8/2018,14.799,14.81,14.855,14.79,0.10K
22/8/2018,14.785,14.805,14.87,14.735,0.12K
23/8/2018,14.577,14.705,14.705,14.5,0.69K
24/8/2018,14.831,14.545,14.86,14.535,0.16K
27/8/2018,14.901,14.835,14.91,14.755,0.25K
28/8/2018,14.82,14.895,14.99,14.655,0.32K
29/8/2018,14.733,14.73,14.765,14.635,0.58K
30/8/2018,14.551,14.551,14.551,14.551,81.13K
31/8/2018,14.517,14.65,14.65,14.56,0.00K
3/9/2018,14.18,14.54,14.55,14.035,141.42K
4/9/2018,14.145,14.48,14.48,14.08,0.03K
5/9/2018,14.18,14.15,14.15,14.15,0.00K
6/9/2018,14.141,14.141,14.141,14.141,72.88K
7/9/2018,14.13,14.105,14.185,14.105,0.03K
10/9/2018,14.138,14.19,14.19,14.145,0.01K
11/9/2018,14.112,14.18,14.18,14.11,0.02K
12/9/2018,14.246,14.145,14.245,14.065,0.03K
13/9/2018,14.199,14.22,14.305,14.18,0.04K
14/9/2018,14.106,14.255,14.255,14.05,0.16K
17/9/2018,14.183,14.035,14.215,14.035,0.03K
18/9/2018,14.145,14.13,14.19,14.105,0.06K
19/9/2018,14.24,14.225,14.29,14.185,0.04K
20/9/2018,14.262,14.33,14.335,14.2,0.06K
21/9/2018,14.315,14.375,14.38,14.15,0.12K
24/9/2018,14.296,14.265,14.34,14.18,0.08K
25/9/2018,14.445,14.255,14.5,14.22,0.12K
26/9/2018,14.354,14.46,14.475,14.3,0.31K
27/9/2018,14.29,14.375,14.48,14.195,87.46K
28/9/2018,14.712,14.27,14.755,14.255,117.07K
1/10/2018,14.507,14.725,14.725,14.395,84.97K
2/10/2018,14.693,14.535,14.95,14.47,106.11K
3/10/2018,14.67,14.73,14.855,14.65,66.41K
4/10/2018,14.59,14.665,14.805,14.56,77.16K
5/10/2018,14.649,14.62,14.75,14.54,61.93K
8/10/2018,14.329,14.665,14.7,14.285,88.56K
9/10/2018,14.4,14.42,14.47,14.285,65.02K
10/10/2018,14.326,14.42,14.455,14.255,61.50K
11/10/2018,14.606,14.335,14.65,14.275,97.85K
12/10/2018,14.635,14.62,14.735,14.54,70.70K
15/10/2018,14.727,14.625,14.805,14.615,64.04K
16/10/2018,14.701,14.725,14.88,14.64,67.28K
17/10/2018,14.663,14.675,14.76,14.615,59.83K
18/10/2018,14.604,14.625,14.68,14.47,76.14K
19/10/2018,14.65,14.6,14.74,14.58,57.03K
22/10/2018,14.587,14.65,14.715,14.54,57.81K
23/10/2018,14.793,14.585,14.84,14.54,86.18K
24/10/2018,14.676,14.775,14.83,14.66,64.15K
25/10/2018,14.63,14.72,14.8,14.61,70.47K
26/10/2018,14.7,14.66,14.795,14.595,84.75K
29/10/2018,14.442,14.72,14.78,14.405,93.78K
30/10/2018,14.504,14.535,14.535,14.475,0.08K
31/10/2018,14.324,14.43,14.43,14.3,0.18K
1/11/2018,14.821,14.305,14.85,14.3,0.39K
2/11/2018,14.798,14.725,14.955,14.715,0.43K
5/11/2018,14.691,14.8,14.8,14.65,0.20K
6/11/2018,14.543,14.705,14.715,14.54,0.06K
7/11/2018,14.612,14.6,14.715,14.6,0.14K
8/11/2018,14.467,14.48,14.57,14.415,0.23K
9/11/2018,14.184,14.41,14.415,14.13,0.53K
12/11/2018,14.054,14.175,14.22,14.01,0.17K
13/11/2018,14.023,14.035,14.115,13.98,0.40K
14/11/2018,14.124,14.04,14.185,13.925,0.27K
15/11/2018,14.304,14.145,14.345,14.13,0.35K
16/11/2018,14.422,14.33,14.43,14.265,0.27K
19/11/2018,14.444,14.425,14.455,14.38,0.10K
20/11/2018,14.311,14.43,14.5,14.28,0.14K
21/11/2018,14.542,14.34,14.575,14.315,0.30K
22/11/2018,14.243,14.46,14.485,14.165,101.36K
23/11/2018,14.287,14.515,14.555,14.205,0.41K
26/11/2018,14.257,14.345,14.445,14.245,0.43K
27/11/2018,14.136,14.27,14.31,14.11,0.42K
28/11/2018,14.372,14.155,14.4,14.125,0.75K
29/11/2018,14.356,14.356,14.356,14.356,78.09K
30/11/2018,14.18,14.33,14.35,14.12,0.04K
3/12/2018,14.453,14.4,14.565,14.4,0.04K
4/12/2018,14.595,14.56,14.575,14.545,0.02K
5/12/2018,14.537,14.455,14.525,14.455,0.05K
6/12/2018,14.462,14.41,14.495,14.39,0.01K
7/12/2018,14.647,14.565,14.65,14.565,0.04K
10/12/2018,14.555,14.58,14.595,14.565,0.05K
11/12/2018,14.578,14.7,14.76,14.58,0.02K
12/12/2018,14.804,14.625,14.82,14.625,0.04K
13/12/2018,14.805,14.76,14.79,14.76,0.02K
14/12/2018,14.59,14.615,14.63,14.56,0.03K
17/12/2018,14.714,14.595,14.7,14.595,0.05K
18/12/2018,14.656,14.69,14.715,14.65,0.02K
19/12/2018,14.771,14.82,14.82,14.61,0.04K
20/12/2018,14.814,14.595,14.85,14.595,0.12K
21/12/2018,14.646,14.795,14.795,14.63,0.05K
24/12/2018,14.771,14.655,14.77,14.655,0.02K
26/12/2018,15.079,14.76,15.195,14.76,0.38K
27/12/2018,15.26,15.07,15.26,15.02,0.18K
28/12/2018,15.436,15.295,15.46,15.285,60.78K
31/12/2018,15.54,15.46,15.575,15.39,53.73K
2/1/2019,15.649,15.55,15.68,15.385,89.23K
3/1/2019,15.797,15.63,15.815,15.55,90.48K
4/1/2019,15.786,15.805,15.955,15.645,99.94K
7/1/2019,15.756,15.8,15.88,15.68,54.18K
8/1/2019,15.713,15.725,15.745,15.56,64.41K
9/1/2019,15.735,15.715,15.825,15.63,78.69K
10/1/2019,15.643,15.8,15.83,15.585,63.41K
11/1/2019,15.656,15.625,15.78,15.59,65.33K
14/1/2019,15.686,15.64,15.7,15.585,48.11K
15/1/2019,15.62,15.69,15.735,15.575,61.68K
16/1/2019,15.638,15.62,15.685,15.52,49.14K
17/1/2019,15.536,15.625,15.645,15.48,54.25K
18/1/2019,15.399,15.585,15.605,15.35,55.59K
21/1/2019,15.325,15.365,15.375,15.195,82.30K
22/1/2019,15.325,15.375,15.385,15.195,82.30K
23/1/2019,15.38,15.345,15.445,15.275,56.86K
24/1/2019,15.3,15.37,15.405,15.245,47.64K
25/1/2019,15.699,15.32,15.765,15.3,80.95K
28/1/2019,15.765,15.755,15.83,15.61,57.72K
29/1/2019,15.839,15.755,15.925,15.725,60.00K
30/1/2019,15.974,15.974,15.974,15.974,80.54K
31/1/2019,16.12,16.08,16.08,16.08,0.02K
1/2/2019,15.979,15.979,15.979,15.979,69.77K
4/2/2019,15.928,15.83,15.83,15.83,0.01K
5/2/2019,15.883,15.88,15.91,15.88,0.00K
6/2/2019,15.749,15.85,15.85,15.79,0.01K
7/2/2019,15.76,15.715,15.765,15.685,0.03K
8/2/2019,15.859,15.78,15.87,15.78,0.04K
11/2/2019,15.74,15.86,15.875,15.75,0.01K
12/2/2019,15.74,15.845,15.845,15.845,0.01K
13/2/2019,15.699,15.695,15.82,15.565,0.05K
14/2/2019,15.575,15.6,15.64,15.51,0.04K
15/2/2019,15.79,15.59,15.81,15.59,0.16K
18/2/2019,15.967,15.785,15.98,15.715,115.09K
19/2/2019,16.013,15.82,16.02,15.79,0.18K
20/2/2019,16.225,16.055,16.22,16.03,0.43K
21/2/2019,15.848,16.095,16.095,15.805,0.49K
22/2/2019,15.96,15.855,15.98,15.83,0.24K
25/2/2019,15.875,15.91,16,15.875,0.26K
26/2/2019,15.879,15.88,15.93,15.78,0.50K
27/2/2019,15.766,15.98,16.01,15.735,69.16K
28/2/2019,15.634,15.77,15.86,15.605,65.41K
1/3/2019,15.256,15.63,15.665,15.165,102.86K
4/3/2019,15.105,15.225,15.295,15.075,90.70K
5/3/2019,15.105,15.115,15.175,15.06,67.84K
6/3/2019,15.085,15.15,15.175,15.055,56.77K
7/3/2019,15.04,15.1,15.13,14.985,61.27K
8/3/2019,15.349,15.055,15.385,15.015,73.17K
11/3/2019,15.274,15.32,15.365,15.225,47.79K
12/3/2019,15.413,15.33,15.49,15.31,53.98K
13/3/2019,15.456,15.44,15.55,15.435,46.36K
14/3/2019,15.171,15.455,15.47,15.135,69.84K
15/3/2019,15.324,15.185,15.39,15.165,58.86K
18/3/2019,15.322,15.315,15.425,15.22,44.45K
19/3/2019,15.372,15.345,15.45,15.32,39.61K
20/3/2019,15.318,15.36,15.565,15.265,65.90K
21/3/2019,15.437,15.485,15.65,15.38,72.41K
22/3/2019,15.407,15.475,15.55,15.365,53.66K
25/3/2019,15.567,15.405,15.59,15.385,50.18K
26/3/2019,15.429,15.545,15.56,15.39,53.10K
27/3/2019,15.298,15.425,15.475,15.255,58.95K
28/3/2019,15.019,15.019,15.019,15.019,86.59K
29/3/2019,15.156,15.06,15.06,15.06,0.00K
1/4/2019,15.148,15.175,15.2,15.115,0.01K
2/4/2019,15.111,15.1,15.135,15.035,0.05K
3/4/2019,15.153,15.19,15.19,15.085,0.01K
4/4/2019,15.135,15.045,15.2,14.965,0.04K
5/4/2019,15.132,15.175,15.21,15.125,0.02K
8/4/2019,15.263,15.13,15.27,15.13,0.12K
9/4/2019,15.259,15.28,15.3,15.235,0.06K
10/4/2019,15.29,15.23,15.28,15.205,0.09K
11/4/2019,14.911,15.25,15.255,14.9,0.19K
12/4/2019,15.008,14.97,15.08,14.97,0.14K
15/4/2019,15.021,14.98,15.03,14.845,0.10K
16/4/2019,14.956,14.99,15.005,14.875,0.17K
17/4/2019,14.979,15.005,15.095,14.965,0.08K
18/4/2019,14.999,14.965,15.015,14.955,0.24K
22/4/2019,15.016,15.02,15.065,15,0.09K
23/4/2019,14.829,14.995,15.025,14.735,0.23K
24/4/2019,14.956,14.82,14.995,14.78,0.13K
25/4/2019,14.92,14.92,15.015,14.86,0.25K
26/4/2019,15.049,14.965,15.075,14.9,0.67K
29/4/2019,14.933,15.115,15.115,14.905,65.25K
30/4/2019,14.984,14.94,15.04,14.835,62.08K
1/5/2019,14.729,14.975,14.985,14.62,85.72K
2/5/2019,14.617,14.69,14.735,14.57,64.59K
3/5/2019,14.978,14.62,14.995,14.6,84.55K
6/5/2019,14.927,14.96,14.99,14.77,64.55K
7/5/2019,14.926,14.91,14.955,14.81,55.91K
8/5/2019,14.862,14.92,14.99,14.835,53.11K
9/5/2019,14.773,14.845,14.875,14.705,59.56K
10/5/2019,14.79,14.75,14.85,14.74,45.82K
13/5/2019,14.777,14.775,14.815,14.615,63.99K
14/5/2019,14.812,14.78,14.865,14.745,47.64K
15/5/2019,14.812,14.8,14.865,14.765,43.23K
16/5/2019,14.539,14.79,14.825,14.515,69.18K
17/5/2019,14.388,14.545,14.555,14.38,63.19K
20/5/2019,14.445,14.395,14.46,14.355,44.60K
21/5/2019,14.41,14.435,14.46,14.35,47.47K
22/5/2019,14.449,14.42,14.48,14.37,36.91K
23/5/2019,14.613,14.42,14.635,14.4,68.45K
24/5/2019,14.555,14.575,14.595,14.52,40.68K
27/5/2019,14.32,14.545,14.61,14.265,105.61K
28/5/2019,14.32,14.545,14.61,14.265,105.61K
29/5/2019,14.411,14.325,14.45,14.32,72.67K
30/5/2019,14.53,14.53,14.53,14.53,58.64K
31/5/2019,14.607,14.68,14.68,14.68,0.01K
3/6/2019,14.78,14.68,14.855,14.68,0.01K
4/6/2019,14.808,14.785,14.805,14.745,0.01K
5/6/2019,14.826,14.89,14.97,14.8,0.03K
6/6/2019,14.941,14.97,14.995,14.915,0.32K
7/6/2019,15.065,14.91,15.11,14.895,0.03K
10/6/2019,14.674,14.855,14.855,14.665,0.37K
11/6/2019,14.774,14.715,14.81,14.67,0.24K
12/6/2019,14.786,14.8,14.87,14.785,0.17K
13/6/2019,14.926,14.78,14.905,14.78,0.12K
14/6/2019,14.839,14.935,15.08,14.815,0.07K
17/6/2019,14.863,14.885,14.905,14.795,0.04K
18/6/2019,15.029,14.86,15.06,14.86,0.08K
19/6/2019,14.994,15,15.205,14.945,0.09K
20/6/2019,15.529,15.19,15.515,15.16,0.22K
21/6/2019,15.331,15.495,15.585,15.195,0.40K
24/6/2019,15.418,15.4,15.485,15.33,0.30K
25/6/2019,15.342,15.48,15.535,15.315,0.47K
26/6/2019,15.335,15.36,15.375,15.195,0.38K
27/6/2019,15.294,15.34,15.355,15.205,74.82K
28/6/2019,15.341,15.3,15.385,15.245,57.10K
1/7/2019,15.193,15.315,15.345,15.155,70.00K
2/7/2019,15.238,15.16,15.365,15.07,71.31K
3/7/2019,15.336,15.37,15.51,15.24,66.80K
4/7/2019,15.001,15.365,15.37,14.915,109.25K
